enqueue p1-18 18
enqueue p2-7 7
enqueue p3-68 68
enqueue p4-95 95
enqueue p5-42 42
enqueue p6-87 87
enqueue p7-97 97
enqueue p8-75 75
enqueue p9-16 16
enqueue p10-69 69
enqueue p11-17 17
enqueue p12-8 8
enqueue p13-5 5
enqueue p14-63 63
enqueue p15-33 33
enqueue p16-71 71
enqueue p17-51 51
enqueue p18-54 54
enqueue p19-81 81
enqueue p20-40 40
enqueue p21-17 17
enqueue p22-8 8
enqueue p23-14 14
enqueue p24-93 93
enqueue p25-45 45
enqueue p26-22 22
enqueue p27-53 53
enqueue p28-32 32
enqueue p29-73 73
enqueue p30-63 63
enqueue p31-9 9
enqueue p32-42 42
enqueue p33-9 9
enqueue p34-69 69
enqueue p35-25 25
enqueue p36-94 94
enqueue p37-74 74
enqueue p38-12 12
enqueue p39-91 91
enqueue p40-27 27
enqueue p41-41 41
enqueue p42-29 29
enqueue p43-30 30
enqueue p44-14 14
enqueue p45-68 68
enqueue p46-34 34
enqueue p47-40 40
enqueue p48-15 15
enqueue p49-38 38
enqueue p50-25 25
enqueue p51-56 56
enqueue p52-17 17
enqueue p53-91 91
enqueue p54-49 49
enqueue p55-24 24
enqueue p56-67 67
enqueue p57-29 29
enqueue p58-33 33
enqueue p59-22 22
enqueue p60-22 22
enqueue p61-100 100
enqueue p62-90 90
enqueue p63-83 83
enqueue p64-94 94
enqueue p65-60 60
enqueue p66-27 27
enqueue p67-34 34
enqueue p68-1 1
enqueue p69-26 26
enqueue p70-50 50
enqueue p71-98 98
enqueue p72-84 84
enqueue p73-9 9
enqueue p74-20 20
enqueue p75-89 89
enqueue p76-31 31
enqueue p77-96 96
enqueue p78-28 28
enqueue p79-30 30
enqueue p80-58 58
enqueue p81-69 69
enqueue p82-40 40
enqueue p83-6 6
enqueue p84-4 4
enqueue p85-50 50
enqueue p86-17 17
enqueue p87-96 96
enqueue p88-16 16
enqueue p89-30 30
enqueue p90-81 81
enqueue p91-62 62
